label_id,label_name
501,Imperial Dub Recordings
212156,Klapmaster Records
253,Peacefrog Records
31,Mosaic
1006,BBE
1195806,is / was
425873,Root Down Records
1101165,Michigander
503480,Beste Modus
937473,Fit Sound
2839,Interdimensional Transmissions
2839,Interdimensional Transmissions
15140,Secret Mixes Fixes
210914,Bath House Etiquette
2421,Twilight 76 Records
204374,Wania
713785,Obonit
5648,Dirt Style Records
10141,Devon Records
10662,Esquire Records
295,Subwoofer
2086,TNT Records
314,Dance Mania
259,Studio !K7
108115,Synapsis Records
15140,Secret Mixes Fixes
1818,Not On Label
88,Nite Grooves
108162,Prism
425873,Root Down Records
469,User
1005,Epic
5814,Housetime Records
4331,Emcee Recordings
109,Ninja Tune
6170,Tempa
1866,Columbia
24169,Epic Street
19135,Wrap Records
1818,Not On Label
59,Tresor
23528,Warp Records
169006,Pampa Records
259,Studio !K7
109,Ninja Tune
2408,Breakin' Records
4748,New Breed
425873,Root Down Records
130856,Wild Oats
415,Metroplex
486204,(K)nob America
2354,Soul:r
1889,Hipbone Records
9717,"Singles, Ep's & eXhits"
1315945,The Urgency Of Change
625,Kne' Deep
3416,Swing City Records
526,Frontline Records
126,Creative Wax
1985,Zone Records
1998,Radikal Records
4087,I.R.S. Records
2294,Parlophone
980200,Vanity Press Records
980200,Vanity Press Records
185,Planet Mu
654,Capitol Records
3198,Chrysalis
18344,Orpheus Records
135642,Not On Label (Mary J. Blige)
1965,Big Beat
9433,Roc-A-Fella Records
664858,Spring Theory
251,Nervous Records
167040,Hotbath
562421,Razor N Tape Reserve
1103191,Mint Condition (2)
1818,Not On Label
1330349,Super Tuff Records
1818,Not On Label
1025391,Whiskey Disco Small Batch
501,Imperial Dub Recordings
501,Imperial Dub Recordings
2715,Priority Records
2715,Priority Records
2186,Jive
2664,UMM
284,Cutting Traxx
2664,UMM
177742,RCA Records Label
4241,Def Jam Recordings
651,Elektra
4304,Delicious Vinyl
11818,Rush Associated Labels
4304,Delicious Vinyl
2715,Priority Records
848457,Air Cuts
3284,Weekend Records
185,Planet Mu
727648,Three Six Zero Music
194504,DeepLabs
39357,Mercury
69,Yoshitoshi Recordings
374,Sound Signature
8201,Rhymesayers Entertainment
442771,Mile High
696849,Disposable Commodities
214417,Lumberjacks In Hell
36001,Correct Records
229,Harthouse
604978,Downtown 304
374,Sound Signature
7637,Pop Art Records
562421,Razor N Tape Reserve
635172,Permanent Records (11)
2922,EMI-Manhattan Records
60347,Model Records (2)
767452,Love Notes (2)
361899,Wednesday Sound
8201,Rhymesayers Entertainment
324413,Chiwax
1228,Adult Only
267,Trax Records
138429,Not On Label (DJ Shadow)
764862,Mentha Records
1228,Adult Only
401955,Motorik!
15642,Hardfloor
1031,Synewave
290,KMS
681,Atlantic
681,Atlantic
641587,The Bunker New York
194,Matador
257,430 West
767452,Love Notes (2)
944,SBK Records
881911,Plus 8 Records
4425,Tino Corp.
470631,Vestax
830,International House Records
641587,The Bunker New York
59,Tresor
782261,Deep Groove Records (7)
5868,Subterranean Playhouse Series
324413,Chiwax
84221,Bu-Mako Recordings
53138,K-Otix Entertainment
3020,Ghostly International
39357,Mercury
8377,Island Records
1005,Epic
3515,Communique Records
399283,Argot (2)
1818,Not On Label
399283,Argot (2)
25386,Hyperdub
251117,Livity Sound
3020,Ghostly International
1451,Serial Killers Haircut
4233,Databass Records
1357,Interface Records
20,Moody Recordings
460,Nite Life Collective
269,Force Inc. Music Works
12,Large Records
98,Defected
878,MCA Records
3965,Orthlorng Musork
893,Underground Construction
3019,Ambush
11358,RCA Victor
927,Intuit-Solar
35932,Guesthouse Music
1065,Soul Phusion Records
2739,Profile Records
467,Primevil
2880,Traum Schallplatten
888,OMW (Oxygen Music Works)
157,Reprise Records
501,Imperial Dub Recordings
65364,EIGHT-TRACKS
1184,Tidy Trax
113,NovaMute
141064,Black Soul On Vinyl
750,Virgin
715,Kompakt
3019,Ambush
454861,Styles Upon Styles
927,Intuit-Solar
1006,BBE
1766,i220
129,Infrared
2612,Tonic Recordings
2086,TNT Records
949,Sixeleven Records (611)
3072,CBS
303,Missile Records
47028,Raw Beats
23,Grayhound Recordings
2311,Interscope Records
14,F Communications
2269,Acid Fuckers Unite (A.F.U.)
3981,Ingoma
7271,Low Rent Operator
59,Tresor
76,Kaos Records
949,Sixeleven Records (611)
1466,BPitch Control
881911,Plus 8 Records
2481,good:as
118,Talkin' Loud
750,Virgin
7899,System Recordings
433,Disques Solid
297,FFRR
1069,Alpha Recordings
4476,JP Records
56848,Photo Records
1456,Sm:)e Communications
5898,Zod
1132,Eightball Records
19735,Rap-A-Lot Records
46719,Stereoseven Plus
893,Underground Construction
582,Gourmet Recordings
949,Sixeleven Records (611)
9926,Razor & Tie
1000,Warner Bros. Records
999,EastWest
1474,Genetic Recordings
9662,Niche Blue
321,Hardleaders
927,Intuit-Solar
14902,DFM Records
934,Definitive Recordings
785,DK Records
62,Eukahouse
27031,Sire
71233,Hi-Bias Records
2186,Jive
3019,Ambush
12709,Junkie Vinyl
4064,Sim
5322,Blatant Beats
7970,Banana Mouth Records
1322,Odori
9206,Tumblin' Records
6900,Black No Sugar
895,RCA
38652,Paramount Records
19666,Digerati Recordings
35,Ovum Recordings
3005,Groovilicious
654,Capitol Records
750,Virgin
5056,Portrait
6024,Contagious Records
143788,Sneak Attack Entertainment
9433,Roc-A-Fella Records
6672,On-Off
53444,Jam Down Records
144808,VSP
953,Wax Trax! Records
514,V Recordings
1723,Motown
635,Frisbee Tracks
4000,Soap Records
361833,Scorpio (11)
69,Yoshitoshi Recordings
587,Pro-Zak Trax
286,Royal Drums
134180,DIP Recordings (2)
