687968926,"12"" EP Ltd",12.95,Very Good Plus (VG+),Draft,225817
687968834,"12"" Promo",5.5,Very Good Plus (VG+),Draft,1427453
687968761,"10"" Album",53,Very Good (VG),Draft,5294850
687968982,"12""",4.2,Very Good Plus (VG+),Draft,24215
687968838,LP Album Promo,5.5,Very Good Plus (VG+),Draft,3843755
687968841,"12""",5.5,Near Mint (NM or M-),Sold,3060628
687968983,"12"" EP Promo",4.2,Near Mint (NM or M-),Draft,3677681
687968853,CD Comp,14.95,Near Mint (NM or M-),Sold,32203
687968910,"12"" Unofficial",7.89,Near Mint (NM or M-),Draft,180271
687968929,LP Album Comp,12.95,Very Good Plus (VG+),Sold,4846937
687968941,"2x12"" Comp Promo",15.95,Mint (M),Sold,1871958
687969169,CD Comp RM,9.85,Very Good Plus (VG+),Sold,2462386
687969050,"12"" RM",13.95,Mint (M),Draft,1441487
687969094,"12"" EP RP",10.99,Mint (M),Sold,7982888
687969090,"12"" Pic",9.85,Mint (M),Sold,97937
687969135,"12"" EP",15.95,Mint (M),Sold,10040162
687969160,CD Album,4.75,Near Mint (NM or M-),Draft,2550942
687969148,"12""",16.95,Mint (M),Draft,7127575
687968858,"7"" Ora",21.5,Mint (M),Draft,11428294
687969129,"12"" EP W/Lbl",14.95,Very Good (VG),Draft,10714119
687969026,"12""",7.89,Very Good Plus (VG+),Draft,854696
687969108,"12""",12.95,Mint (M),Sold,9600402
687969019,"12""",7.5,Very Good Plus (VG+),Sold,664768
687969130,"12"" EP",14.95,Mint (M),Draft,9979858
687969037,LP Comp RE,8.95,Near Mint (NM or M-),Draft,4473454
687969076,"12"" Promo",5.75,Very Good Plus (VG+),Draft,2496253
687969080,"12"" EP",7,Very Good Plus (VG+),Sold,4837141
687969168,"12""",8.95,Very Good Plus (VG+),Sold,7052003
687969038,"12""",8.95,Near Mint (NM or M-),Draft,187187
687969126,"12"" RE RM",13.95,Mint (M),Draft,9472337
687969044,"12""",9.85,Very Good Plus (VG+),Draft,4555522
687969141,"12""",15.95,Mint (M),Draft,10350444
687969091,"12"" EP",9.85,Very Good Plus (VG+),Draft,214403
687969020,"12"" Unofficial",7.5,Near Mint (NM or M-),Draft,531614
687968950,"7"" Yel",21.5,Mint (M),Draft,11428331
687969078,"12"" EP",6.45,Very Good Plus (VG+),Draft,481517
687969134,"12"" Ltd Whi",14.95,Mint (M),Draft,10128598
687969165,LP Comp Glo,7.89,Very Good Plus (VG+),Sold,165682
687968861,CD Album,18,Mint (M),Sold,3508333
687969059,"12""",1.28,Very Good (VG),Sold,25564
687969206,"12"" RP",10,Near Mint (NM or M-),Sold,1649704
687969192,"12"" RE RM",13.95,Mint (M),Draft,5598911
687969245,"12""",18.95,Very Good (VG),Draft,1855
687969284,"12"" EP",13.95,Mint (M),Sold,11022417
687969285,"12""",13.95,Very Good (VG),Sold,130774
687969248,"12""",18.95,Very Good Plus (VG+),Sold,691028
687969198,"12""",12.5,Mint (M),Sold,10775213
687969301,"12"" EP",13.95,Mint (M),Sold,6704257
687969236,"10""",17.95,Fair (F),Draft,267077
687969057,"12"" S/Sided + 12""",23.95,Mint (M),Draft,11185912
687969199,"12"" RE",14.95,Mint (M),Draft,10651614
687969254,LP Album,18.95,Very Good Plus (VG+),Sold,48487
687969255,"12"" W/Lbl Sta",18.95,Near Mint (NM or M-),Sold,8100026
687969272,"12"" RE Blu",12.95,Very Good Plus (VG+),Draft,2179022
687969308,"12""",13.95,Good Plus (G+),Draft,244602
687969156,"12"" Ltd RE RM",19.95,Mint (M),Sold,10580285
687969220,"12"" Yel",16.95,Very Good Plus (VG+),Draft,6420266
687969157,"12""",19.95,Mint (M),Sold,9468663
687969259,LP Album + CD Album,18.95,Near Mint (NM or M-),Sold,5234789
687969262,"12""",18.95,Very Good Plus (VG+),Draft,438383
687969241,"12"" W/Lbl Sta",13.95,Near Mint (NM or M-),Sold,5409212
687969210,"12""",15.95,Mint (M),Draft,10624123
687969226,"12"" Comp",12,Very Good Plus (VG+),Sold,27810
687969265,"12"" Unofficial W/Lbl",15,Very Good Plus (VG+),Sold,2054277
687969489,CD Album,10.45,Near Mint (NM or M-),Draft,916124
687969478,"12"" EP",13.45,Very Good Plus (VG+),Draft,81331
687969428,"2x12"" Album",12.95,Near Mint (NM or M-),Draft,978685
687969602,"12"" Ltd",4,Near Mint (NM or M-),Sold,6175313
687969342,"12""",14.95,Mint (M),Draft,9833951
687969343,"10""",14.95,Very Good (VG),Draft,614700
687969429,"12"" EP Smplr W/Lbl",12.95,Mint (M),Draft,7628532
687969345,"12""",14.95,Near Mint (NM or M-),Draft,4883458
687969498,CD Album,10.45,Near Mint (NM or M-),Sold,6277613
687969606,"12"" RE",9.45,Very Good Plus (VG+),Draft,1226460
687969349,"12""",14.95,Good Plus (G+),Sold,132316
687969432,"12"" W/Lbl",12.95,Good Plus (G+),Draft,8594840
687969352,"12""",14.95,Near Mint (NM or M-),Draft,4180400
687969355,"12"" EP",12,Very Good Plus (VG+),Sold,6625744
687969445,"12""",12.95,Mint (M),Draft,6099840
687969360,"12""",12.5,Mint (M),Sold,9499229
687969449,"12""",12.95,Near Mint (NM or M-),Draft,779785
687969361,"12""",14.95,Near Mint (NM or M-),Sold,9969209
687969363,"12"" Smplr Yel",14.95,Near Mint (NM or M-),Draft,2375418
687969364,"12""",14.95,Mint (M),Draft,10318230
687969365,"2x12"" Comp Promo",14.95,Very Good Plus (VG+),Draft,2807275
687969455,"2x12"" Album",12.95,Very Good Plus (VG+),Draft,13604
687969457,LP,12.95,Very Good Plus (VG+),Draft,7320738
687969370,LP Album Gat,18.95,Mint (M),Draft,8194137
687969460,"12"" RP",12.95,Near Mint (NM or M-),Sold,4207276
687969471,"12""",12.95,Mint (M),Sold,65589
687969472,"12"" EP",12.95,Near Mint (NM or M-),Draft,8085710
687969473,2xLP Comp,12.95,Mint (M),Sold,155858
687969415,"12"" P/Mixed Smplr",12.5,Very Good Plus (VG+),Draft,4587378
687969329,"2x12"" Comp",13.95,Very Good Plus (VG+),Draft,298381
687969476,"12""",12.95,Near Mint (NM or M-),Draft,1308576
687969373,LP Album,18.95,Mint (M),Draft,8287808
687969477,"12"" EP Ltd Pin",12.95,Near Mint (NM or M-),Draft,6079480
687969636,"12""",12.5,Near Mint (NM or M-),Sold,5468479
687969823,"12""",9.45,Near Mint (NM or M-),Draft,928799
687969638,"12"" EP",12.5,Very Good Plus (VG+),Draft,29964
687969824,"12""",9.45,Mint (M),Draft,1847150
687969640,"12"" EP Ltd Red",12.5,Mint (M),Draft,10435269
687969825,"10""",9.45,Very Good Plus (VG+),Draft,514820
687969586,"12"" EP",13.95,Mint (M),Draft,9952597
687969829,2xLP Album RE Los,9.45,Very Good Plus (VG+),Draft,6188180
687969518,CDr Mixed,11.45,Very Good Plus (VG+),Draft,3874632
687969511,CD Album,10.45,Very Good Plus (VG+),Sold,457840
687969562,"2x12"" Album",13.45,Near Mint (NM or M-),Draft,98368
687969563,"12""",13.45,Very Good (VG),Sold,240590
687969590,"7"" Ora",14.95,Mint (M),Sold,10085779
687969592,"10"" Gol",14.95,Mint (M),Draft,10123626
687969577,LP Album Pic,13.45,Very Good Plus (VG+),Sold,565981
687969630,"12"" EP Ltd Lav",11.85,Near Mint (NM or M-),Draft,5698875
687969580,"12"" EP",13.45,Mint (M),Draft,1784325
687969719,"12""",9.85,Near Mint (NM or M-),Draft,1793476
687969657,"12"" EP",12.5,Near Mint (NM or M-),Draft,4467538
687969772,"12"" EP",10.99,Very Good Plus (VG+),Draft,766540
687969661,"12""",12.5,Very Good Plus (VG+),Draft,4840211
